,title,appId,url,icon,developer,developerId,priceText,price,free,summary,scoreText,score,currency
103,Cat Escape,gg.sunday.catescape,https://play.google.com/store/apps/details?id=gg.sunday.catescape,https://play-lh.googleusercontent.com/If5wCREVhk1ibdZd8g67oShl_Vnm0qyx3OayiBl7Sm3UGr_74_0ZrWEmLXo5XesrGw,Sunday.gg,5843788422909712485,FREE,0.0,True,Escape the guards and solve tricky puzzles!,4.2,4.1533155,
104,Dodge Master!,com.twodestudios.dodgemaster,https://play.google.com/store/apps/details?id=com.twodestudios.dodgemaster,https://play-lh.googleusercontent.com/WFv5b72WGPsSedVOcqRNsy1AIcFuAvssd2sTYHPfbqXgrVeOKKLsrumt_EAvIkAekR5S,Zynga,6690081412016968981,FREE,0.0,True,"Dodge bullets, hit them back!",4.0,4.013343,
105,Woodturning,com.BallGames.Woodturning,https://play.google.com/store/apps/details?id=com.BallGames.Woodturning,https://play-lh.googleusercontent.com/ufhYSGBkylFQadIVZdaGzEYUHygKalVdYjGr8c6X9HDAwGVnlNKLb4cTGQG-3eGLKd8,VOODOO,VOODOO,FREE,0.0,True,One lathe to rule them all,4.0,3.9931319,
106,Word Collect - Free Word Games,com.platinumplayer.word.addict,https://play.google.com/store/apps/details?id=com.platinumplayer.word.addict,https://play-lh.googleusercontent.com/TUYE_hU6S3U-K_J1MEvrMjIb49k2okz0wp9SsQyeyDWEyUd-TbRbjTIvvLL9GJ5cn3s,Super Lucky Games LLC,4691791004319566419,FREE,0.0,True,Play Word Games Free in Word Collect - Free Word Games! Play this Word Game Now!,4.8,4.8040357,
107,No Limit Drag Racing 2,com.battlecreek.nolimit2,https://play.google.com/store/apps/details?id=com.battlecreek.nolimit2,https://play-lh.googleusercontent.com/Sj_xQcl9CY2FQzmKzW-wtlRvXW1aRhMmCGKas4T48UdhBt6wmvS-1W1KtghSM-cyhQ,Battle Creek Games,Battle+Creek+Games,FREE,0.0,True,The best drag racing game you've ever seen.,4.6,4.5616436,
108,Stack Ball - Blast through platforms,com.azurgames.stackball,https://play.google.com/store/apps/details?id=com.azurgames.stackball,https://play-lh.googleusercontent.com/3pf26YI4SRN_Uk72hQeHJHbv57xOKOVEThflyjzoM6OegOxEolE8lGCImYz7DC9bv4w,CASUAL AZUR GAMES,8232174611457920989,FREE,0.0,True,Guide your ball to victory no matter what tries to stop it.,4.1,4.14161,
109,Brain Out – Can you pass it?,com.mind.quiz.brain.out,https://play.google.com/store/apps/details?id=com.mind.quiz.brain.out,https://play-lh.googleusercontent.com/cIZT8s6NiS_Ez_t0EbD_zoMgvdUsUIP8dgArn4iWcWynE4HYSsYdG7xJTuwkl-vZ3lE,Focus apps,Focus+apps,FREE,0.0,True,Make you happy make you laugh😆But you will be tricked!,4.4,4.4286484999999995,
110,Hide 'N Seek!,com.seenax.HideAndSeek,https://play.google.com/store/apps/details?id=com.seenax.HideAndSeek,https://play-lh.googleusercontent.com/UsAM2h8ot3EnqaURM71aYn5jmm_Uj4wVpyTDlE2y52vbTNyvlZuuR0dRkXwzT_vMzEQ,Supersonic Studios LTD,Supersonic+Studios+LTD,FREE,0.0,True,Find or be found. Up to you!,3.9,3.9486444,
111,Solitaire - My Farm Friends,com.solitaire.fun.free.klondike.cardgames.farm.friends,https://play.google.com/store/apps/details?id=com.solitaire.fun.free.klondike.cardgames.farm.friends,https://play-lh.googleusercontent.com/ncm7V3akj8rg7dH1EqfVSZUuGyAlDCt2nJkae6VnhkEscYB3SpZSSSI69TyOmo8y4WrT,Kings Solitaire Game,Kings+Solitaire+Game,FREE,0.0,True,Classic solitaire card game (Klondike or Patience) with AMAZING farm theme.,4.5,4.5283613,
112,Extreme Car Driving Simulator,com.aim.racing,https://play.google.com/store/apps/details?id=com.aim.racing,https://play-lh.googleusercontent.com/zDEqBSreKFZhN99c8xj3LYYxDrOK8AcSDEg-qM9LYFS-SlTWPyZdsgchc-BGR30xnLA,AxesInMotion Racing,7842996855899014066,FREE,0.0,True,The best car driving simulator of 2014. Download it now for free!,4.3,4.329296,
113,Stealth Master - Assassin Ninja Game,com.stealthgame.master,https://play.google.com/store/apps/details?id=com.stealthgame.master,https://play-lh.googleusercontent.com/sITfIt7fe2R1_xUbibi1NdbBT8GGC3K_J8dnBsA5ZDDuFHdsAc3JVNdYld6LVRNaRg,SayGames,SayGames,FREE,0.0,True,Find and kill your target! Take your katana and become the best killer.,4.2,4.170539,
114,Tie Dye,com.crazylabs.tie.dye.art,https://play.google.com/store/apps/details?id=com.crazylabs.tie.dye.art,https://play-lh.googleusercontent.com/u72XneevzQExXcG8R_ALK7nqKhnSJNG72oBHI0tDdsmg7GTh8kL857kJutOXpiE3N-A,Crazy Labs by TabTale,6443412597262225303,FREE,0.0,True,Open a paint TIE DYE store and release your DIY fashion art creative skills!,4.2,4.151115,
115,Join Clash 3D,com.freeplay.runandfight,https://play.google.com/store/apps/details?id=com.freeplay.runandfight,https://play-lh.googleusercontent.com/nWk99F4mxv0uyt5Yt5No21uCE4Ah0NwYK6MXfYp1zZg2iFd9ImaeEiu8R8We1iGeHtg,Supersonic Studios LTD,Supersonic+Studios+LTD,FREE,0.0,True,Lead the Crowd! Control the Runners and Win the Run Race in the City!,4.0,4.0458536,
116,Bubble Shooter Rainbow - Shoot & Pop Puzzle,com.blackout.bubble,https://play.google.com/store/apps/details?id=com.blackout.bubble,https://play-lh.googleusercontent.com/N08RWyH1RFqoN_2cw9KCA3RS9MUd7t448mF5lE4CibBNoJIIsqe3SVEmlYThWNCwrQ,Blackout Lab,Blackout+Lab,FREE,0.0,True,Enjoy more than 5000 awesome puzzles,4.6,4.5710597,
117,Pokémon GO,com.nianticlabs.pokemongo,https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo,https://play-lh.googleusercontent.com/nK_-VeI5OLlQYOucqEMOjsmAa_xgkxyZw4QKWDI4jk0crWYuZyi4wxhcqrGgc14E7g,"Niantic, Inc.","Niantic,+Inc.",FREE,0.0,True,Discover Pokémon worldwide,4.1,4.114053,
118,FNF for Friday Night Funkin Mods,com.fnf.fnf,https://play.google.com/store/apps/details?id=com.fnf.fnf,https://play-lh.googleusercontent.com/Lry6woQlsDC_O68lzLXa4FMdESxqj1mvWfURAO2r7HrcwSOT1SluyzPdgpPlnOJPbQGw,Le Thi Nga,Le+Thi+Nga,FREE,0.0,True,#1 Music Rhythm Game,2.6,2.6271497999999998,
119,Scribble Rider,com.tapped.drawrider,https://play.google.com/store/apps/details?id=com.tapped.drawrider,https://play-lh.googleusercontent.com/naphUHaAvzaQCtCq0AgUXU1ZYXXk7DRrZAM4wBL34nblHLkyjiNlFy1KKxggQ_qR6UM,VOODOO,VOODOO,FREE,0.0,True,"Roll, Swim, Stick and Fly with the ultimate 'All-Terrain' vehicle",4.1,4.0936513,
120,Family Island™ - Farm game adventure,com.MelsoftGames.FamilyIslandFarm,https://play.google.com/store/apps/details?id=com.MelsoftGames.FamilyIslandFarm,https://play-lh.googleusercontent.com/HbH1hDE1EFa3RyYiRM5aY4tA8FTx0KAHGWImyseVw9UDSggwPiLadUYjIrjbmoux01U,Melsoft Games Ltd,7512418058857457125,FREE,0.0,True,Epic farming game adventure on the deserted island!,4.4,4.3610106,
121,Brain Go 2,com.wonder.secondoverseas.an,https://play.google.com/store/apps/details?id=com.wonder.secondoverseas.an,https://play-lh.googleusercontent.com/xeqYF_RHICBjTi9n1QzqBiJ_vAW6lxjJN4vWSq8oJ1cDS3_ppyqNKSC06J6N2PDTrA,Wonder Game Inc.,6109727420380587100,FREE,0.0,True,Only 5% of players can pass.,4.4,4.4207177,
122,Rope Hero 2021: Stickman Rope Hero City Crime,com.sg.grand.stickman.rope.hero.crime.city,https://play.google.com/store/apps/details?id=com.sg.grand.stickman.rope.hero.crime.city,https://play-lh.googleusercontent.com/GNxQ0bSC8tAP_BzkyLO58A3-modG57eIyROAVbN5ytiRKn-HVJZ2gAZ_Sg7zEaT_GkU,Stallion Games,Stallion+Games,FREE,0.0,True,Best Stickman Hero with Stickman Rope Hero skills to Fight against City Mafia!,4.6,4.599749,
123,Solitaire TriPeaks: Play Free Solitaire Card Games,com.gsn.android.tripeaks,https://play.google.com/store/apps/details?id=com.gsn.android.tripeaks,https://play-lh.googleusercontent.com/4r0_YyQgXNUQOzdf1Wi0DUfAG8f1aC_xiBw024RgxhI3uR2Eed5NJZtyMP8h-_I1hOk7,"GSN Games, Inc.",6289421402968163029,FREE,0.0,True,"Free solitaire games! Like Spider, FreeCell, Klondike &amp; Pyramid - but more fun!",4.5,4.4633636,
124,Family Farm Adventure,com.farmadventure.global,https://play.google.com/store/apps/details?id=com.farmadventure.global,https://play-lh.googleusercontent.com/kFwF8Y2Ve0YRodzWIVWvz15lwfoZMPvTcJRcReO_hKyqVzTHDe9VCBU4SyxnsbOn2A,Century Games Pte. Ltd.,5790676279664405139,FREE,0.0,True,Rebuild your tropical flower farm and go on wild explorations!,4.1,4.141737,
125,Angry Birds 2,com.rovio.baba,https://play.google.com/store/apps/details?id=com.rovio.baba,https://play-lh.googleusercontent.com/w4xy9B_V3VJx4clPMxop7ph-JqMuMePzkjpgvigKLEFsmGL87r8PZ6Ft57RoT2nJ3vAh,Rovio Entertainment Corporation,9133452689932095671,FREE,0.0,True,Fling birds and beat the pigs in fun slingshot challenges and special events!,4.3,4.334572,
